date,variable,value
2017-02-05,Number of transactions face to face,110
2017-02-12,Number of transactions face to face,130
2017-02-19,Number of transactions face to face,160
2017-02-26,Number of transactions face to face,200
2017-03-05,Number of transactions face to face,250
2017-03-12,Number of transactions face to face,310
2017-03-19,Number of transactions face to face,380
2017-03-26,Number of transactions face to face,460
2017-04-02,Number of transactions face to face,550
2017-04-09,Number of transactions face to face,550
2017-02-05,Number of transactions online GOV.UK Verify,165
2017-02-12,Number of transactions online GOV.UK Verify,195
2017-02-19,Number of transactions online GOV.UK Verify,240
2017-02-26,Number of transactions online GOV.UK Verify,300
2017-03-05,Number of transactions online GOV.UK Verify,375
2017-03-12,Number of transactions online GOV.UK Verify,465
2017-03-19,Number of transactions online GOV.UK Verify,570
2017-03-26,Number of transactions online GOV.UK Verify,690
2017-04-02,Number of transactions online GOV.UK Verify,825
2017-04-09,Number of transactions online GOV.UK Verify,825
2017-02-05,Number of transactions post,220
2017-02-12,Number of transactions post,260
2017-02-19,Number of transactions post,320
2017-02-26,Number of transactions post,400
2017-03-05,Number of transactions post,500
2017-03-12,Number of transactions post,620
2017-03-19,Number of transactions post,760
2017-03-26,Number of transactions post,920
2017-04-02,Number of transactions post,1100
2017-04-09,Number of transactions post,1100
2017-02-05,Number of transactions online legacy,330
2017-02-12,Number of transactions online legacy,390
2017-02-19,Number of transactions online legacy,480
2017-02-26,Number of transactions online legacy,600
2017-03-05,Number of transactions online legacy,750
2017-03-12,Number of transactions online legacy,930
2017-03-19,Number of transactions online legacy,50
2017-03-26,Number of transactions online legacy,1380
2017-04-02,Number of transactions online legacy,1650
2017-04-09,Number of transactions online legacy,1650
2017-02-05,Number of transactions phone,105
2017-02-12,Number of transactions phone,124
2017-02-19,Number of transactions phone,152
2017-02-26,Number of transactions phone,190
2017-03-05,Number of transactions phone,238
2017-03-12,Number of transactions phone,295
2017-03-19,Number of transactions phone,361
2017-03-26,Number of transactions phone,437
2017-04-02,Number of transactions phone,523
2017-04-09,Number of transactions phone,523
